ticker,company_name,sic,fiscal_year_end,year_end,filing_date,fiscal_year,accession_number,form_type,net_income,total_assets,total_liabilities,operating_income,operating_cash_flow,return_next_year,vol_next_year,lagged_vol,log_total_assets,leverage,roa,asset_growth,current_ratio,accruals,ocf_to_assets
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2010-10-31,2010-12-20,2010,0001047469-10-010499,10-K,684000000.0,9696000000.0,6460000000.0,566000000.0,718000000.0,-0.16426844751052544,0.48704959260830116,0.306867121652172,22.99497926627337,0.6662541254125413,0.07054455445544554,0.27377824487651076,2.000973078170613,-0.0035066006600660065,0.07405115511551155
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2011-10-31,2011-12-16,2011,0001047469-11-010124,10-K,1012000000.0,9057000000.0,4741000000.0,1071000000.0,1260000000.0,0.211259370838928,0.29856777079755753,0.48704959260830116,22.926803776339224,0.5234625151816275,0.11173677818262118,-0.06590346534653466,3.03157321720196,-0.027382135364911117,0.1391189135475323
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2012-10-31,2012-12-20,2012,0001090872-12-000018,10-K,1153000000.0,10536000000.0,5351000000.0,1119000000.0,1228000000.0,0.3374709712377193,0.2228252216948003,0.29856777079755753,23.07806380138739,0.5078777524677297,0.10943432042520881,0.1632991056641272,2.445324881141046,-0.0071184510250569474,0.11655277145026575
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2013-10-31,2013-12-19,2013,0001090872-13-000029,10-K,724000000.0,10686000000.0,5397000000.0,951000000.0,1152000000.0,0.014686759669213059,0.2226616139738004,0.2228252216948003,23.092200310481992,0.5050533408197642,0.06775219913906046,0.014236902050113895,3.1104868913857677,-0.04005240501590866,0.10780460415496912
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2014-10-31,2014-12-22,2014,0001090872-14-000045,10-K,504000000.0,10831000000.0,5530000000.0,831000000.0,711000000.0,0.03456349386126589,0.22478146120006465,0.2226616139738004,23.105678229800013,0.5105715077093528,0.04653309943680177,0.013569155904922327,3.2314923619271445,-0.01911180869725787,0.06564490813405964
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2015-10-31,2015-12-21,2015,0001090872-15-000051,10-K,401000000.0,7479000000.0,3309000000.0,522000000.0,491000000.0,0.10654366034942601,0.2361674225023214,0.22478146120006465,22.735364930155942,0.4424388287204172,0.053616793688995856,-0.26146766842498664,3.776639344262295,-0.012033694344163659,0.06565048803315951
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2016-10-31,2016-12-20,2016,0001090872-16-000082,10-K,462000000.0,7802000000.0,3556000000.0,615000000.0,793000000.0,0.3915666892857737,0.16586211414268956,0.2361674225023214,22.777645948030877,0.45578056908485004,0.059215585747244295,0.04318759192405402,3.8465608465608465,-0.04242501922583953,0.10164060497308383
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2017-10-31,2017-12-21,2017,0001090872-17-000018,10-K,684000000.0,8426000000.0,3591000000.0,841000000.0,889000000.0,-0.05172171002264081,0.26796025521271166,0.16586211414268956,22.854588000503234,0.42618086873961547,0.08117730833135534,0.07997949243783645,3.3008709422011084,-0.02432945644433895,0.10550676477569428
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2018-10-31,2018-12-20,2018,0001090872-18-000019,10-K,316000000.0,8541000000.0,3970000000.0,928000000.0,1087000000.0,0.3158614181797083,0.25385780117848916,0.26796025521271166,22.86814393391042,0.4648167661866292,0.036998009600749324,0.01364823166389746,3.286080273270709,-0.09027046013347383,0.12726846973422315
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2019-10-31,2019-12-19,2019,0001090872-19-000022,10-K,1071000000.0,9452000000.0,4704000000.0,941000000.0,1021000000.0,0.34448599475820113,0.36787612414231763,0.25385780117848916,22.969492196271073,0.49767245027507406,0.11330935251798561,0.10666198337431214,1.533173076923077,0.005289885738468049,0.10801946677951756
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2020-10-31,2020-12-18,2020,0001090872-20-000020,10-K,719000000.0,9627000000.0,4754000000.0,846000000.0,921000000.0,0.25033024008311244,0.2053974753627447,0.36787612414231763,22.98783748774224,0.49381946608496935,0.07468577957826945,0.01851460008463817,2.3278800272665303,-0.020982652955230083,0.09566843253349953
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2021-10-31,2021-12-17,2021,0001090872-21-000027,10-K,1210000000.0,10705000000.0,5316000000.0,1347000000.0,1485000000.0,-0.016955373730320748,0.3526301091537195,0.2053974753627447,23.093976758988056,0.49659037832788416,0.11303129378794956,0.111976732107614,2.2242388758782203,-0.025688930406352173,0.13872022419430172
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2022-10-31,2022-12-21,2022,0001090872-22-000026,10-K,1254000000.0,10532000000.0,5227000000.0,1618000000.0,1312000000.0,-0.059882616153508095,0.2684136024565754,0.3526301091537195,23.077684078580475,0.49629699962020507,0.11906570451955943,-0.016160672582905183,2.030091348737238,-0.005507026205848841,0.12457273072540828
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2023-10-31,2023-12-20,2023,0001090872-23-000020,10-K,1240000000.0,10763000000.0,4918000000.0,1350000000.0,1772000000.0,-0.03016971391761029,0.26163647111737154,0.2684136024565754,23.099380163228574,0.45693579856917216,0.11520951407600112,0.02193315609570832,2.611353711790393,-0.04942859797454242,0.16463811205054352
A,"AGILENT TECHNOLOGIES, INC.",3826,10,2024-10-31,2024-12-20,2024,0001090872-24-000049,10-K,1289000000.0,11846000000.0,5948000000.0,1488000000.0,1751000000.0,0.03678607490172069,0.31586927169087475,0.26163647111737154,23.195256094801184,0.5021104170184029,0.10881310146885025,0.1006225030196042,2.0891820580474936,-0.039000506500084416,0.14781360796893467
AA,Alcoa Corp,3334,12,2017-12-31,2018-02-26,2017,0001193125-18-056314,10-K,217000000.0,17447000000.0,10649000000.0,,1224000000.0,-0.42160545471997096,0.4623059958228377,0.35201548445530256,23.582433551044176,0.6103628130910759,0.012437668367054507,0.04217191326682994,1.3031980319803198,-0.05771765919642345,0.07015532756347796
AA,Alcoa Corp,3334,12,2018-12-31,2019-02-26,2018,0001564590-19-004171,10-K,227000000.0,15938000000.0,8544000000.0,,448000000.0,-0.7546620371336189,0.4199670830161943,0.4623059958228377,23.491972031921968,0.5360772995357008,0.014242690425398418,-0.08649051412850346,1.4162384378211716,-0.013866231647634585,0.028108922073033
AA,Alcoa Corp,3334,12,2019-12-31,2020-02-21,2019,0001564590-20-005759,10-K,-1125000000.0,14631000000.0,8745000000.0,,686000000.0,0.47907691663030316,0.8272940339798746,0.4199670830161943,23.406408402342436,0.5977035062538446,-0.07689153167931105,-0.08200527042288869,1.3772922356613344,-0.12377827899665095,0.0468867473173399
AA,Alcoa Corp,3334,12,2020-12-31,2021-02-25,2020,0001564590-21-008854,10-K,-170000000.0,14860000000.0,9844000000.0,,394000000.0,1.0992535999685515,0.605540524924786,0.8272940339798746,23.421938876236023,0.6624495289367429,-0.011440107671601614,0.01565169844849976,1.6370880115900037,-0.0379542395693136,0.026514131897711977
AA,Alcoa Corp,3334,12,2021-12-31,2022-02-24,2021,0001564590-22-006763,10-K,429000000.0,15025000000.0,8741000000.0,,920000000.0,-0.4762580060680219,0.6590798713655557,0.605540524924786,23.432981317367684,0.5817637271214642,0.02855241264559068,0.01110363391655451,1.5594166925224946,-0.03267886855241264,0.06123128119800333
AA,Alcoa Corp,3334,12,2022-12-31,2023-02-23,2022,0001564590-23-002319,10-K,-123000000.0,14756000000.0,8167000000.0,,822000000.0,-0.5822883878052935,0.5263147168826171,0.6590798713655557,23.41491561668084,0.5534697750067769,-0.008335592301436703,-0.01790349417637271,1.7476697736351532,-0.06404174573055028,0.05570615342911358
AA,Alcoa Corp,3334,12,2023-12-31,2024-02-21,2023,0000950170-24-018069,10-K,-651000000.0,14155000000.0,8310000000.0,,91000000.0,0.27190105738950515,0.46662785061144635,0.5263147168826171,23.373333755510274,0.5870717061109149,-0.04599081596608972,-0.04072919490376796,1.453795379537954,-0.05241963970328506,0.006428823737195337
AA,Alcoa Corp,3334,12,2024-12-31,2025-02-20,2024,0000950170-25-024242,10-K,60000000.0,14064000000.0,8907000000.0,,622000000.0,0.5592688426678393,0.5521888492752823,0.46662785061144635,23.366884177889233,0.6333191126279863,0.004266211604095563,-0.006428823737195337,1.447422680412371,-0.03996018202502844,0.044226393629124006
AAPL,Apple Inc.,3571,9,2010-09-25,2010-10-27,2010,0001193125-10-238044,10-K,14013000000.0,75183000000.0,27392000000.0,18385000000.0,18595000000.0,0.2967194666473657,0.25318957696638994,0.2587221872737644,25.04319097851614,0.36433768272082784,0.18638522006304617,0.5827666785962401,2.0112923462986196,-0.06094462843993988,0.24732984850298606
